Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,class
1.519951168,0.331991245,-1.126547052,-1.128243391,-1.331942434,YES
2.608710271,3.490921196,-3.475376056,0.371553864,0.42587599,YES
1.596152891,0.680212338,-0.520510189,-0.360954955,-1.074496008,YES
2.053926781,2.287382696,-2.312733155,0.499154843,-0.49993991,YES
2.552647478,1.214071758,-2.024386558,-1.383275065,-1.805419768,YES
2.163591941,0.614386151,-1.47026369,-2.164652647,-0.517512825,YES
-0.490201771,3.500069376,-2.732764323,-0.573304632,-0.108414559,YES
1.822357946,2.485191914,-1.993480504,-0.901070039,-0.833379717,YES
2.575217931,1.682245042,-0.895461936,-0.005285545,-0.675170742,YES
3.446449489,2.956649392,2.161499641,0.125379395,-0.243748162,YES
4.079117797,2.367079098,-1.075419719,-0.88321255,-1.305868219,YES
0.082144377,2.792838526,-3.654804631,-1.415174115,1.194737858,YES
2.48795272,1.489886319,-0.047601267,-0.210075823,-1.490018796,YES
5.871472002,2.271298412,3.072854435,-0.57753594,0.699639759,YES
1.144318678,2.106326131,-2.995143839,0.721342196,-0.800267413,YES
5.524007443,0.918325355,-1.489742077,2.175833078,-2.273029524,YES
2.534769889,-0.269305012,-1.017750101,-0.930711238,-0.976529905,YES
1.909420451,0.820729608,-1.492621148,0.634268548,-0.219411221,YES
1.721736801,0.884398374,-2.875387518,2.082442188,0.095135879,YES
1.822936254,-0.528511972,-0.757093653,-0.281134165,-1.338643527,YES
0.3360727,3.291265142,-1.384064698,1.949609649,0.724766191,YES
1.99620801,2.004232763,-2.456352356,2.327858694,-0.634822584,YES
1.759294668,2.151372877,0.081436932,-0.394832223,-0.811528461,YES
3.27575742,2.168920687,-1.276316944,-1.448120487,1.568952124,YES
3.366473598,2.709980336,0.750948492,0.395704619,-0.383870288,YES
1.176312124,1.898150506,-2.188440267,0.370056619,-0.90879151,YES
1.285456331,1.21370945,0.219832808,-0.160433581,-0.199430239,YES
1.070299696,1.001278063,-0.709594511,-0.097912827,-1.267720671,YES
1.102310251,1.67079957,-1.657937814,-0.848892338,-1.938063034,YES
1.616165298,0.495189023,-0.546627265,1.419861313,-1.946518669,YES
2.465776058,1.878980947,0.493411848,0.510760378,0.306336294,YES
0.487525806,3.190804353,-0.96607729,2.210345581,0.572024703,YES
0.76068508,2.008769103,-0.750804098,0.219681664,-0.201689663,YES
1.163247568,-0.031735658,-0.783109575,-0.846462289,-0.31022988,YES
4.554773424,3.233660787,-2.730077232,1.603433289,0.453190577,YES
0.518078318,4.391854614,0.476138724,2.66031355,-0.002047385,YES
2.035383398,2.656158429,-2.936804823,2.458684254,1.05561956,YES
2.50269037,2.563292232,1.385430157,1.825437692,0.598891767,YES
4.99219807,2.084025623,-0.304647034,0.995773399,0.143931538,YES
3.40930577,1.705019425,4.681870059,1.932168682,1.453193419,YES
2.552262264,1.547994179,1.649316034,-0.30829545,-1.165236483,YES
1.428658492,0.053661678,-0.886120195,-1.263012619,-1.154146168,YES
4.09036041,2.532653933,-4.697139178,2.760524736,0.215248337,YES
1.048623083,1.480413848,0.021902949,-0.019849781,-0.872987792,YES
1.513826569,0.73263078,0.780123598,1.373281781,-0.402966023,YES
3.041792131,1.743807254,-1.05937821,1.143463825,-0.427852193,YES
0.659620857,2.64942443,-1.849725262,1.659655716,-0.768201122,YES
0.395594727,1.483409787,-0.882478049,1.452844385,0.450671034,YES
1.877738096,1.158354154,2.277752839,0.532670241,-0.929721828,YES
2.296108927,2.298847167,-3.036050395,1.828472412,-0.568076733,YES
2.303796232,1.720799196,-0.858249453,-0.936311485,-0.805298258,YES
1.80278494,3.035794144,0.045458489,2.085940601,-0.972484687,YES
0.903708775,1.467340178,-1.204984196,-1.111727077,-0.116197048,YES
1.3958608,-0.108508225,-1.754767724,-0.871109401,-1.28652654,YES
1.421366737,0.593166084,-1.739360247,-1.40141038,-1.400714448,YES
1.929413614,0.521213919,-0.678299688,-0.093901618,-0.113439316,YES
2.77953721,2.118270924,-0.054478824,1.046464917,0.354753951,YES
1.998665384,1.725692417,0.186458342,-0.923017955,-0.796520622,YES
1.645735826,0.826468842,-1.034477926,2.178293266,0.11850348,YES
4.895992986,0.833388635,-1.910725846,0.101876454,-0.246504823,YES
0.553433274,0.37980674,-0.706503345,0.520901051,-1.181763526,YES
1.265966766,1.790475664,-2.347849745,1.970947321,0.08255966,YES
2.099042906,0.461276865,-1.596946032,0.272159796,-0.439252685,YES
4.513742629,2.301958027,-2.782360307,-1.248474024,0.051058987,YES
1.568012761,0.984071799,0.684899626,-0.267383891,-0.411339137,YES
3.043823854,2.686473497,1.382843072,-0.113141105,0.173873802,YES
2.33733743,1.049566692,2.063541201,0.69557078,0.402301896,YES
2.590078164,0.840743514,1.954881017,-0.516007955,-0.154323346,YES
3.170341822,2.100566537,-1.280757433,2.397847517,-0.469895188,YES
4.681963771,1.111236064,-0.530557029,0.145010835,1.08371752,YES
0.719890492,2.277082549,-2.393387916,-1.124653909,0.716829363,YES
2.785334565,1.248618705,-1.919910798,0.8690338,0.482094727,YES
1.540276515,2.083959355,-1.67924828,-1.06954672,0.856479841,YES
0.562252271,0.904605216,-1.035069251,0.263689275,-1.613769507,YES
2.121265236,0.867038641,0.026752571,-1.384052803,-0.590704621,YES
1.845471767,1.689362102,-1.758650857,-0.361459286,-0.4391018,YES
2.737228107,3.727604741,-3.201436499,1.374181423,0.410341795,YES
0.385621267,2.524430892,-1.623437668,0.006586333,-0.430246799,YES
1.416781603,1.566354547,-0.311305013,0.488029415,-1.564479702,YES
